validator index ,validator public address,Protocol,stack,tailscale dns,AI Monitoring containers1,AI Monitoring containers2,AI Monitoring containers3,AI Monitoring containers4
1634582,0x96482f8422a906fc8480b58ea6f8c33116ea8c427770a47bffd046f7ef20d93b66df6efb4ba94885108a0194fe633639,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1634583,0x994870b5abcfab7ebf04a22c1d0bdc0aa778676878d1b73f9139819aa66b30d37125fc915dfcb57b099fcd91be6b0e57,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1634584,0xb4ecb84a1c80fd7ad379083fd4bfd7911add7b8e474a28bd41fbd507f2b636348943bbc8f62faf6554e45f052b983e70,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1634585,0x95c516f2b8d7640d18567d8fa39a9949aecd854b07eaffd4591376285cdc43932cb00ee4296e94588790f6681432a0c2,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1634586,0x8b2be7bd4996364a1ceb0c9eed8c3443a1b47a05987284461ac3123717a7d1d609a8e283d2ecac028a172ee937044b26,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644823,0x94e880dce6263402dcbf3a9a6835d97e8b4d9d2bbd9b557ef00198c081d69a9518d7d30b48005cd067894bb800f5e24e,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644826,0x800eeafcb338a0f12ae2094d4fa47839b482030cab0e0191942296742616d983ed6d3f8861ac30a594ce6e6853197d6b,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644824,0xb3d0e69d4f2e328f799e394498169f6c35433f4a69e6839882596ff278a65b2d6c68a16161088a524225654c074b519c,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644825,0x9940a1bede8246b6505a8aa418340e1514b7728495f4e5392fa5c93af3f3b7b65e3b8ced1e678d52634f97557e05a672,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644827,0xaf3f5d9ea40de62fe49b8da81e698e813acd5afb9361f9cfe7811964d4e42508519b5230e7a54be5889b5bbb85f96d05,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644828,0xb2dc060c5b55b3c87338af6c8a6a0b8a45b89a2a05e14189c131a818d1fba14062e45481f4b86dbabdc5e056a66e4a3b,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1644903,0x86af1755674e8575f57de34e96faabb9ae67522905a3fe6ffe9a6086a3cf5a52caba08a7ea64831481b1e65de0cb5364,102 CSM LIDO,VERO,minipcamd.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1674865,0x8f24d4f72fab7a2f7c0280653d20bd7232330d6aea656c5cb3cd9e43f3560f958486564fe61ee5e7eefaeed9ee565308,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1674866,0xb7b9bebf14091e5c35e3c5f4d877a7231f53cbd57159530bd8f135f4e923295064bf11318beac7f77b2c368b5d0e3bbc,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1674867,0x8b6bf253b82f52cd2d91175df19ab034586bc0e77814108689837a240f650f0054d1b52625af394e9236cec88b21ce6e,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1674868,0xa78338c2a2c5ab14ac84f111b8c9b9f07d59e83654e21a4ec8ed7513d011b346ce6d9e1619540dd5f0bd6fb2228a728b,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1674869,0x8c0f9576c5d97f5e6a0ec4be54c96120209e59bdcf68ce12106ccc48f73ff3721fb7c2540fe20818a7684a9de2401f25,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1675138,0xa60a0bf4524d35eb23b5b0f18c325f412de8ef861a7e1ef401a6f1fb6fbd98bc3a52fa23983cfe4c7e70b29d0c2010ec,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1678168,0x8c3d7d7b700afe6668998dc657599630760e36b4960b6a8d9cf4480cedbdc73a7f75341520bdf17a8472e23929f7ee72,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1678169,0x8ca58c177c8d0958716405a5799073f224407551ddaac54c0470a184cfdf06fcf775a3c35b0a4af0fa03b037027b0521,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1678170,0xa4f9f2e83e991dad3ef4a00e593b548564f02611e98e23fd698df35eb73fdc557335653d5f4a3ef2967e8ad2c96565e0,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1721758,0x92021308364931b10e70f4bba9b863060d5e60a9004d2fb2618e8ab4e935e17a4664043b1a46dc78f522f358aa977081,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1721759,0xb8ed534accb6c5c2cc2ce16d502c5742b3a30c6c1c4c25e207f510deaf857fe099177edd65c0cca97ef1e263e2498b98,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1721760,0x8b1fa0d9da82fb2467cb882b7366405a24498f4492ed5d5b90b68f00cd2c30d8be681e7b05710d25cf4e78e84e30b79d,188 CSM LIDO,VERO,minipcamd2.velociraptor-scylla.ts.net,eth-docker-validator-1,eth-docker-consensus-1,eth-docker-execution-1,eth-docker-mev-boost-1
1907460,0x8352135efde38be1cb8ea367755585d3f209f6951c614153cbf38ed0fd03b925170ba796ef2e00ef6b4abd7b0e53579e,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
1907498,0xa41c4be318773038f72e96c3d99c2b17220ab79845c085e89f1e3bb78c044ea00da0e353c2ca29a31598225785b26a24,Etherfi,Obol,orangepi5-plus.velociraptor-scylla.ts.net,charon-distributed-validator-node-lodestar-1,charon-distributed-validator-node-charon-1,charon-distributed-validator-node-mev-boost-1,eth-docker-consensus-1
